location_id,address,latitude,longitude
LOC001,"461 David Island, Chavezburgh, WA 30400",25.013986418497133,55.14720821752813
LOC002,"638 Martinez Harbor, East Matthew, KS 07979",25.193113361917355,55.300844792998404
LOC003,"USS Spence, FPO AA 95954",25.13532322355322,55.26334771240787
LOC004,"67231 Gary Springs, North Jason, OR 37244",25.22972788011795,55.35380819792192
LOC005,"202 Carroll Light, Whitebury, VT 29085",25.23613253757826,55.19855356250732
LOC006,"98782 David Key, West Sharonport, MA 93906",25.021220696719734,55.30227970977211
LOC007,"55120 Tyler Stravenue Apt. 352, Roychester, ND 20810",25.08215980581702,55.19103087375509
LOC008,"7575 Marsh Lock, Greggborough, MA 86827",25.051712179339386,55.247127327751066
LOC009,"4433 Galloway Fork Suite 343, Gregoryborough, MD 05608",25.24647329132585,55.30678630650034
LOC010,"9959 Elliott Lights, New Angelaville, VT 86810",25.038847614498902,55.35295229543637
LOC011,"7704 Oconnell Overpass, Davidhaven, KY 69849",25.001914310569322,55.123524168178946
LOC012,"6267 Dodson Extensions Apt. 974, New Frank, GA 45528",25.014009587875712,55.320062627829024
LOC013,"667 Figueroa Fort, Port Jacobberg, DE 68043",25.14178018822727,55.265522295212456
LOC014,"461 Maria Ridges, South Jacquelinefurt, AS 52034",25.241284561818535,55.304899367960665
LOC015,"952 Jennifer Isle, Kyleside, MN 63651",25.072983580140875,55.161671364680146
LOC016,"085 Nichole Ports, West Isaac, RI 27848",25.244408202702278,55.187861227772025
LOC017,"55648 Madeline Fields, Lake David, NY 52346",25.158923333549165,55.32202560846717
LOC018,"573 Lee Fort Apt. 386, East Matthew, MA 53042",25.20646090705751,55.345672310463065
LOC019,"266 Donald Rest, Mariashire, TN 10150",25.216931290327853,55.144644491832985
LOC020,"977 Cheryl Key, New Jeremytown, MN 71613",25.0982713418544,55.267496045473756
LOC021,"0807 Castillo Forks, Loriville, RI 72654",25.027036719071596,55.125075684231206
LOC022,"20283 Acosta Springs Suite 547, Mcdowellhaven, WV 92270",25.08355461709808,55.256043166327224
LOC023,"USCGC Hill, FPO AP 83641",25.091534142377814,55.18625937071472
LOC024,"141 Valerie Mountains Suite 577, Kristishire, MD 94492",25.135941673515205,55.36024371568843
LOC025,"USNV Richards, FPO AE 03726",25.134771307944956,55.37215011993047
LOC026,"56544 Stacy Lodge Apt. 645, Lake Andrewbury, GA 32442",25.175224445399618,55.21644790523661
LOC027,"00996 Clark Turnpike Suite 862, Port Kelly, IL 38741",25.173931953192834,55.3452808479446
LOC028,"1344 Villanueva Shore Suite 263, Haleymouth, UT 67759",25.225422370281382,55.25136054978436
LOC029,"92128 Richard Pass Apt. 505, Port Anthonyhaven, FM 08886",25.152098965208854,55.27461580246631
LOC030,"48122 Glover Vista Suite 395, North Nicholas, ND 85967",25.1558929263475,55.33583760882611
LOC031,"431 Miranda Creek Suite 780, Lake Jose, FL 50745",25.07724100027897,55.374857869190066
LOC032,"USNS Davis, FPO AA 10839",25.202438702848475,55.23523905828516
LOC033,"USNV Gonzales, FPO AA 35309",25.153497683624384,55.16361171253455
LOC034,"USS Salazar, FPO AE 05675",25.115491097011347,55.17432376085231
LOC035,"3813 Reese Pines, North Jenniferland, NC 26560",25.113161256432,55.26087203797522
LOC036,"694 Williams Hills Apt. 474, Reedport, WV 94612",25.113767737209223,55.37645633409425
LOC037,"33945 Ian Track, West Dustin, IN 28470",25.213670920244077,55.327431013715895
LOC038,"74064 Ashley Centers Suite 376, Harmonton, HI 48429",25.19219686931661,55.22481580226874
LOC039,"069 Hodges Radial Apt. 134, South Kaitlin, MI 79399",25.109755750466014,55.147300456645674
LOC040,"022 Davis Inlet, Jacksonmouth, GA 34247",25.219974928555178,55.29923763217896
